Ticker,Empresa,Setor,BEST+ Score,Preço Atual,Preço-Teto,Abaixo do Teto?,DY (%),P/L,Dívida/PL
C1BL34.SA,CHUBB LTD   DRN ED,Financial Services,4/5,361.44,0.00,Não,144.00,11.92,0.29
TAEE3.SA,TAESA       ON      N2,Utilities,4/5,11.70,0.00,Não,847.00,6.76,1.37
ENGI3.SA,ENERGISA    ON      N2,Utilities,4/5,14.42,0.00,Não,401.00,9.68,1.71
ISAE4.SA,ISA ENERGIA PN      N1,Utilities,4/5,23.44,0.00,Não,1015.00,4.75,0.67
PSSA3.SA,PORTO SEGUROON      NM,Financial Services,4/5,50.56,0.00,Não,382.00,10.60,0.05
CEBR3.SA,CEB         ON  ED,Utilities,4/5,22.40,0.00,Não,1256.00,9.00,0.00
ALUP4.SA,ALUPAR      PN      N2,Utilities,4/5,9.87,0.00,Não,282.00,9.49,1.06
W1BO34.SA,WEIBO CORP  DRN,Communication Services,4/5,16.38,0.00,Não,673.00,8.67,0.51
ALUP11.SA,ALUPAR      UNT     N2,Utilities,4/5,30.70,0.00,Não,273.00,7.36,1.06
SAPR4.SA,SANEPAR     PN      N2,Utilities,4/5,7.18,0.00,Não,800.00,5.13,0.57
T1LK34.SA,PT TELEKOMUNDRN,Communication Services,4/5,51.35,0.00,Não,525.00,13.66,0.57
CPFE3.SA,CPFL ENERGIAON      NM,Utilities,4/5,38.50,0.00,Não,730.00,8.21,1.42
EGIE3.SA,ENGIE BRASILON      NM,Utilities,4/5,40.46,0.00,Não,507.00,10.96,2.10
EQPA3.SA,EQTL PARA   ON,Utilities,4/5,5.60,0.00,Não,1166.00,4.71,1.46
WIZC3.SA,WIZ CO      ON      NM,Financial Services,4/5,8.13,0.00,Não,306.00,7.01,0.33
CMIG3.SA,CEMIG       ON      N1,Utilities,4/5,14.93,0.00,Não,953.00,6.09,0.55
FIQE3.SA,UNIFIQUE    ON      NM,Communication Services,4/5,4.55,0.00,Não,597.00,9.10,0.55
TAEE4.SA,TAESA       PN      N2,Utilities,4/5,11.77,0.00,Não,845.00,6.80,1.37
BMOB3.SA,BEMOBI TECH ON      NM,Communication Services,4/5,21.81,0.00,Não,532.00,14.54,0.02
ENGI4.SA,ENERGISA    PN      N2,Utilities,4/5,8.90,0.00,Não,658.00,5.97,1.71
DESK3.SA,DESKTOP     ON      NM,Communication Services,4/5,8.15,0.00,Não,45.00,12.54,1.33
CEBR6.SA,CEB         PNB ED,Utilities,4/5,24.75,0.00,Não,1241.00,9.94,0.00
P1GR34.SA,THE PROGRESSDRN,Financial Services,4/5,650.65,0.00,Não,12.00,13.70,0.21
EQTL3.SA,EQUATORIAL  ON      NM,Utilities,4/5,36.25,0.00,Não,216.00,12.63,1.72
B3SA3.SA,B3          ON  ATZ NM,Financial Services,4/5,13.48,0.00,Não,218.00,14.98,0.76
A1MP34.SA,AMERIPRISE FDRN,Financial Services,4/5,643.50,0.00,Não,94.00,14.99,0.58
VERZ34.SA,VERIZON     DRN,Communication Services,4/5,38.63,0.00,Não,448.00,10.06,1.67
CEEB3.SA,COELBA      ON,Utilities,4/5,36.90,0.00,Não,502.00,4.68,1.87
ALUP3.SA,ALUPAR      ON      N2,Utilities,4/5,10.98,0.00,Não,258.00,10.56,1.06
A1TT34.SA,ALLSTATE CORDRN,Financial Services,4/5,43.36,0.00,Não,146.00,9.15,0.34
CMIG4.SA,CEMIG       PN      N1,Utilities,4/5,11.19,0.00,Não,1128.00,4.57,0.55
CSMG3.SA,COPASA      ON      NM,Utilities,4/5,32.89,0.00,Não,547.00,9.19,0.82
SAPR3.SA,SANEPAR     ON      N2,Utilities,4/5,7.85,0.00,Não,654.00,5.61,0.57
CXSE3.SA,CAIXA SEGURION      NM,Financial Services,4/5,14.08,0.00,Não,919.00,9.78,0.00
CASH3.SA,MELIUZ      ON      NM,Communication Services,4/5,4.36,0.00,Não,8745.00,7.93,0.00
NEOE3.SA,NEOENERGIA  ON      NM,Utilities,4/5,28.56,0.00,Não,342.00,8.02,1.46
CEBR5.SA,CEB         PNA ED,Utilities,4/5,22.48,0.00,Não,1268.00,9.03,0.00
CLSC4.SA,CELESC      PN      N2,Utilities,4/5,102.04,0.00,Não,769.00,6.94,1.08
SBSP3.SA,SABESP      ON      NM,Utilities,4/5,126.50,0.00,Não,294.00,7.74,0.77
CPLE3.SA,COPEL       ON      N2,Utilities,4/5,11.80,0.00,Não,678.00,14.39,0.79
CMCS34.SA,COMCAST     DRN,Communication Services,4/5,34.28,0.00,Não,300.00,5.31,1.04
ISAE3.SA,ISA ENERGIA ON      N1,Utilities,4/5,30.91,0.00,Não,763.00,6.27,0.67
DBAG34.SA,DEUTSCHE AK DRN,Financial Services,3/5,194.60,0.00,Não,161.00,12.67,0.00
LBRD34.SA,LIBERTY BROADRN,Communication Services,3/5,26.37,0.00,Não,0.00,7.80,0.33
EAIN34.SA,ELECTR ARTS DRN,Communication Services,3/5,463.12,0.00,Não,33.00,43.24,0.36
BCSA34.SA,SANTANDER   DRN,Financial Services,3/5,53.15,0.00,Não,191.00,10.36,0.00
H1SB34.SA,HSBC HOLDINGDRN,Financial Services,3/5,91.62,0.00,Não,506.00,13.55,0.00
N1DA34.SA,NASDAQ INC  DRN ED,Financial Services,3/5,245.50,0.00,Não,85.00,35.22,0.82
MSCD34.SA,MASTERCARD  DRN,Financial Services,3/5,99.56,0.00,Não,53.00,38.89,2.41
GOGL35.SA,ALPHABET    DRN ED,Communication Services,3/5,111.27,0.00,Não,24.00,26.56,0.11
NEXT34.SA,NEXTERA ENERDRN,Utilities,3/5,93.68,0.00,Não,230.00,24.40,1.53
REDE3.SA,REDE ENERGIAON,Utilities,3/5,6.38,0.00,Não,1039.00,9.67,2.74
BMEB3.SA,MERCANTIL   ON      N1,Financial Services,3/5,40.60,0.00,Não,498.00,7.73,0.00
ATTB34.SA,ATT INC     DRN,Communication Services,3/5,51.94,0.00,Não,273.00,16.65,1.23
WFCO34.SA,WELLS FARGO DRN,Financial Services,3/5,107.92,0.00,Não,159.00,13.85,0.00
EKTR4.SA,ELEKTRO     PN,Utilities,3/5,47.01,0.00,Não,2198.00,9.94,3.21
CGAS3.SA,COMGAS      ON,Utilities,3/5,127.99,0.00,Não,1669.00,10.81,5.17
GEPA4.SA,GER PARANAP PN,Utilities,3/5,35.98,0.00,Não,1665.00,143.92,0.37
BMIN4.SA,MERC INVEST PN,Financial Services,3/5,16.74,0.00,Não,824.00,9.05,0.00
A1ES34.SA,AES CORP    DRN,Utilities,3/5,67.55,0.00,Não,387.00,9.71,3.13
H1BA34.SA,HUNTINGTON BDRN,Financial Services,3/5,94.80,0.00,Não,254.00,13.20,0.00
T1SO34.SA,THE SOUTHERNDRN,Utilities,3/5,495.00,0.00,Não,227.00,23.87,1.90
A1EP34.SA,AMERICAN ELEDRN,Utilities,3/5,289.86,0.00,Não,242.00,15.87,1.51
N1IS34.SA,NISOURCE INCDRN,Utilities,3/5,210.70,0.00,Não,196.00,20.94,1.44
B1CS34.SA,BARCLAYS PLCDRN,Financial Services,3/5,110.50,0.00,Não,226.00,9.40,0.00
M1KT34.SA,MARKETAXESS DRN,Financial Services,3/5,19.32,0.00,Não,120.00,30.19,0.05
A1WK34.SA,AMERICAN WATDRN,Utilities,3/5,182.40,0.00,Não,172.00,24.55,1.41
